train_file,validation_file,segment_type,method,n_segments,n_points,sigma_meas_x,sigma_meas_y,sigma_meas,sigma_acc,sigma_rw,negative_log_likelihood,n_mle_windows,optimizer_success,optimizer_message,stationary_fragments_total,stationary_fragments_accepted,sigma_meas_fragment_20,sigma_meas_fragment_30,sigma_meas_fragment_60,sigma_meas_stability_cv,sigma_meas_stability_min_max_ratio,sigma_meas_stability_status,validation_n,validation_mean_mahalanobis,validation_median_mahalanobis,validation_p95_mahalanobis,validation_p99_mahalanobis,validation_frac_m2_gt_5_991,validation_frac_m2_gt_9_21,validation_frac_m2_gt_13_82,validation_expected_frac_gt_5_991,validation_expected_frac_gt_9_21,validation_expected_frac_gt_13_82,validation_mean_ratio,validation_median_ratio,validation_p95_ratio,validation_p99_ratio,central_calibration,tail_calibration,validation_quality,validation_message,validation_n_segments,validation_n_points,rw_hit_upper_bound
2.csv,3.csv,move,MLE_CV,75,112371,1.1393350841741394,1.2985614675315569,1.2215453980486775,0.04704236148007008,,62582.56237311682,10180.0,True,Solution found.,,,1.1033468574862693,1.2215453980486775,1.356762435033159,0.103325546944944,1.229678977039225,OK,220731.0,15538.4253970107,0.1012368915229916,6.475452544849279,581.8446578079105,0.05330923159864269,0.038078022570459065,0.028727274374691365,0.05,0.01,0.001,7769.21269850535,0.07302698067761694,1.0807795813420804,63.17298105271535,POOR,HEAVY,POOR,"CV: N=220731, mean=15538.4, median=0.101237, P95=6.47545, P99=581.845, >5.991=0.0533092, >9.21=0.038078, >13.82=0.0287273, central=POOR, tail=HEAVY",11.0,220841.0,
2.csv,3.csv,move,MLE_RW,75,112371,1.1393350841741394,1.2985614675315569,1.2215453980486775,,9.313700290657758,97788.69532964617,10180.0,True,Solution found.,,,1.1033468574862693,1.2215453980486775,1.356762435033159,0.103325546944944,1.229678977039225,OK,220731.0,758.4262594184639,1.2950440190132348,2.597645292300335,3.5318073007200708,0.0087527352297593,0.008344999116571754,0.008077705442371031,0.05,0.01,0.001,379.21312970923196,0.9341767919816529,0.4335576505337402,0.38346110546208645,POOR,HEAVY,POOR,"RW: N=220731, mean=758.426, median=1.29504, P95=2.59765, P99=3.53181, >5.991=0.00875274, >9.21=0.008345, >13.82=0.00807771, central=POOR, tail=HEAVY",11.0,220841.0,False
2.csv,3.csv,stand_move,MLE_CV,76,164323,1.1393350841741394,1.2985614675315569,1.2215453980486775,0.07043474651190286,,108275.75888515687,14901.0,True,Solution found.,,,1.1033468574862693,1.2215453980486775,1.356762435033159,0.103325546944944,1.229678977039225,OK,310407.0,7371.243583700618,0.035064671827727996,6.076096611899359,88.59070621155139,0.05058519943171385,0.03635227298353452,0.026813183981031354,0.05,0.01,0.001,3685.621791850309,0.025293814078131055,1.0141254386345708,9.61861371389723,POOR,HEAVY,POOR,"CV: N=310407, mean=7371.24, median=0.0350647, P95=6.0761, P99=88.5907, >5.991=0.0505852, >9.21=0.0363523, >13.82=0.0268132, central=POOR, tail=HEAVY",7.0,310477.0,
2.csv,3.csv,stand_move,MLE_RW,76,164323,1.1393350841741394,1.2985614675315569,1.2215453980486775,,9.999394525697173,146232.36728178067,14901.0,True,Solution found.,,,1.1033468574862693,1.2215453980486775,1.356762435033159,0.103325546944944,1.229678977039225,OK,310407.0,468.82150120453696,0.3677686302379566,2.159855461811411,2.7000440410696425,0.006356171091502447,0.005992132909373822,0.005792395145728028,0.05,0.01,0.001,234.41075060226848,0.2652889895194133,0.36048873273462867,0.29315355698307577,POOR,HEAVY,POOR,"RW: N=310407, mean=468.822, median=0.367769, P95=2.15986, P99=2.70004, >5.991=0.00635617, >9.21=0.00599213, >13.82=0.0057924, central=POOR, tail=HEAVY",7.0,310477.0,False
3.csv,3.csv,stand,stationary_stand_diff,14,89509,0.581955174216055,0.7236443868297798,0.6566327068411559,,,,,True,sigma_meas estimated from stationary stand fragments,,,0.3356493474373723,0.6566327068411559,0.9633073712932388,0.4814755943283881,2.869981361941957,OK,,,,,,,,,,,,,,,,,,,,,,
3.csv,3.csv,stand,MLE_CV,14,89509,0.581955174216055,0.7236443868297798,0.6566327068411559,0.39997759616025425,,208401.17305609168,8131.0,True,Solution found.,,,0.3356493474373723,0.6566327068411559,0.9633073712932388,0.4814755943283881,2.869981361941957,OK,89369.0,70.22089871241063,0.0,7.156660641045936,41.47410041208457,0.05724580111671833,0.040315993241504325,0.02874598574449753,0.05,0.01,0.001,35.110449356205315,0.0,1.1944760057873305,4.502993237717429,POOR,HEAVY,POOR,"CV: N=89369, mean=70.2209, median=0, P95=7.15666, P99=41.4741, >5.991=0.0572458, >9.21=0.040316, >13.82=0.028746, central=POOR, tail=HEAVY",14.0,89509.0,
3.csv,3.csv,stand,MLE_RW,14,89509,0.581955174216055,0.7236443868297798,0.6566327068411559,,9.999479417794571,153272.00697049932,8131.0,True,Solution found.,,,0.3356493474373723,0.6566327068411559,0.9633073712932388,0.4814755943283881,2.869981361941957,OK,89369.0,2.4588799488075286,0.0,0.08907090185482786,0.5692150988193212,0.0006378050554442816,0.00032449730891024854,0.00022379124752430933,0.05,0.01,0.001,1.2294399744037643,0.0,0.014866298741235396,0.061801744108311366,POOR,LIGHT,CHECK,"RW: N=89369, mean=2.45888, median=0, P95=0.0890709, P99=0.569215, >5.991=0.000637805, >9.21=0.000324497, >13.82=0.000223791, central=POOR, tail=LIGHT",14.0,89509.0,False
3.csv,3.csv,move,MLE_CV,11,220841,0.581955174216055,0.7236443868297798,0.6566327068411559,0.39998459223754357,,80827839.51339154,20072.0,True,Solution found.,,,0.3356493474373723,0.6566327068411559,0.9633073712932388,0.4814755943283881,2.869981361941957,OK,220731.0,2114.8149159234536,0.08663303472081932,6.820415610630957,2285.0058230155605,0.05442371030802198,0.040683003293601715,0.031427393524244444,0.05,0.01,0.001,1057.4074579617268,0.06249252478444369,1.1383553314895445,248.09135501311417,POOR,HEAVY,POOR,"CV: N=220731, mean=2114.81, median=0.086633, P95=6.82042, P99=2285.01, >5.991=0.0544237, >9.21=0.040683, >13.82=0.0314274, central=POOR, tail=HEAVY",11.0,220841.0,
3.csv,3.csv,move,MLE_RW,11,220841,0.581955174216055,0.7236443868297798,0.6566327068411559,,9.999621580138072,207329.94397641585,20072.0,True,Solution found.,,,0.3356493474373723,0.6566327068411559,0.9633073712932388,0.4814755943283881,2.869981361941957,OK,220731.0,658.0925624556847,1.123598758344173,2.2533442231287877,3.0601225004098063,0.008621353593287757,0.00823173908513077,0.007991627818475882,0.05,0.01,0.001,329.04628122784237,0.8105051783060674,0.37609239033492314,0.3322485789689902,POOR,HEAVY,POOR,"RW: N=220731, mean=658.093, median=1.1236, P95=2.25334, P99=3.06012, >5.991=0.00862135, >9.21=0.00823174, >13.82=0.00799163, central=POOR, tail=HEAVY",11.0,220841.0,False
3.csv,3.csv,stand_move,MLE_CV,7,310477,0.581955174216055,0.7236443868297798,0.6566327068411559,0.023069720815696512,,21122526.611847483,28223.0,True,Solution found.,,,0.3356493474373723,0.6566327068411559,0.9633073712932388,0.4814755943283881,2.869981361941957,OK,310407.0,41963.98343294411,0.1848669351166462,27.227283750263865,420.6501105168884,0.1538270721987584,0.11683048384862454,0.08512050308143825,0.05,0.01,0.001,20981.991716472054,0.1333533052585636,4.544345299248446,45.67150545236943,POOR,HEAVY,POOR,"CV: N=310407, mean=41964, median=0.184867, P95=27.2273, P99=420.65, >5.991=0.153827, >9.21=0.11683, >13.82=0.0851205, central=POOR, tail=HEAVY",7.0,310477.0,
