time,lat,lon
0 days 00:18:01,58.164852,39.022743
0 days 00:18:05,58.164013,39.023792
0 days 00:18:09,58.163109,39.024654
0 days 00:18:13,58.162174,39.025337
0 days 00:18:17,58.161198,39.025814
0 days 00:18:21,58.160206,39.026096
0 days 00:18:25,58.159203,39.026165
0 days 00:18:29,58.158203,39.02602
0 days 00:18:33,58.157211,39.025677
0 days 00:18:37,58.156258,39.025124
0 days 00:18:41,58.155338,39.024334
0 days 00:18:45,58.154461,39.023376
0 days 00:18:49,58.153652,39.02224
0 days 00:18:53,58.15292,39.02095
0 days 00:18:57,58.152271,39.019524
0 days 00:19:01,58.151699,39.017956
0 days 00:19:05,58.15123,39.016224
0 days 00:19:09,58.150856,39.0145
0 days 00:19:13,58.150593,39.012672
0 days 00:19:17,58.150448,39.010777
0 days 00:19:21,58.150414,39.008869
0 days 00:19:25,58.15049,39.007
0 days 00:19:29,58.150677,39.005089
0 days 00:19:33,58.150902,39.003368
0 days 00:19:37,58.151344,39.001492
0 days 00:19:41,58.151798,38.999985
0 days 00:19:45,58.152431,38.998417
0 days 00:19:49,58.153061,38.997032
0 days 00:19:53,58.153873,38.995686
0 days 00:19:57,58.154671,38.994732
0 days 00:20:01,58.15546,38.993759
0 days 00:20:05,58.156479,38.993069
0 days 00:20:09,58.157406,38.992588
0 days 00:20:13,58.158455,38.992275
0 days 00:20:17,58.159401,38.992222
0 days 00:20:21,58.160458,38.992233
0 days 00:20:25,58.1614,38.992676
0 days 00:20:29,58.162411,38.993137
0 days 00:20:33,58.163307,38.993958
0 days 00:20:37,58.164219,38.994816
0 days 00:20:41,58.165047,38.995926
0 days 00:20:45,58.165779,38.997192
0 days 00:20:49,58.166447,38.998611
0 days 00:20:53,58.167027,39.000179
0 days 00:20:57,58.167515,39.001854
0 days 00:21:01,58.167889,39.003609
0 days 00:21:05,58.168163,39.005375
0 days 00:21:09,58.16832,39.007298
0 days 00:21:13,58.168385,39.00919
0 days 00:21:17,58.168247,39.01123
0 days 00:21:21,58.168125,39.013062
0 days 00:21:25,58.167889,39.014797
0 days 00:21:29,58.167503,39.016506
0 days 00:21:33,58.167015,39.018166
0 days 00:21:37,58.166431,39.019711
0 days 00:21:41,58.165764,39.021103
0 days 00:21:45,58.165024,39.022392
0 days 00:21:49,58.1642,39.023502
0 days 00:21:53,58.163322,39.024406
0 days 00:21:57,58.162403,39.025196
0 days 00:22:01,58.161434,39.025723
0 days 00:22:05,58.160442,39.026047
0 days 00:22:09,58.159439,39.026161
0 days 00:22:13,58.158432,39.026058
0 days 00:22:17,58.157448,39.025745
0 days 00:22:21,58.156479,39.025219
0 days 00:22:25,58.15554,39.024494
0 days 00:22:29,58.154671,39.023624
0 days 00:22:33,58.153843,39.02248
0 days 00:22:37,58.153084,39.021244
0 days 00:22:41,58.152416,39.019863
0 days 00:22:45,58.151821,39.018295
0 days 00:22:49,58.151325,39.016682
0 days 00:22:53,58.150928,39.014931
0 days 00:22:57,58.150642,39.013103
0 days 00:23:01,58.150463,39.01125
0 days 00:23:05,58.150398,39.009331
0 days 00:23:09,58.15044,39.007435
0 days 00:23:13,58.150593,39.005589
0 days 00:23:17,58.150856,39.003777
0 days 00:23:21,58.151222,39.001953
0 days 00:23:25,58.151691,39.000282
0 days 00:23:29,58.152271,38.998745
0 days 00:23:33,58.152931,38.997295
0 days 00:23:37,58.153652,38.995972
0 days 00:23:41,58.154461,38.994884
0 days 00:23:45,58.155338,38.993958
0 days 00:23:49,58.156258,38.993202
0 days 00:23:53,58.157211,38.992634
