profile,model,feature,threshold,threshold_direction,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,valid_accuracy,valid_balanced_accuracy,valid_precision,valid_recall,valid_f1,valid_roc_auc,valid_pr_auc
from_2,RW,filter_distance,0.10256263299874173,high,0.8814536247878546,0.6101020967361827,0.9256015250656912,0.22335221021091958,0.3598667901945564,0.469762755842993,0.33581088739684595,0.9775435409903643,0.6777041252908254,0.0024418270611893133,0.37777777777777777,0.004852290566576281,0.5923718856503983,0.01501471780350684
from_2,RW,sqrt_mahalanobis,2.0820714394077338,high,0.8829059511996068,0.6143440652633463,0.9337276919991979,0.23157017909204497,0.3711042373345686,0.47387007018449223,0.34229667750122295,0.9929310300407069,0.6187419811660069,0.0050644567219152855,0.24444444444444444,0.009923319801533603,0.5831245260276365,0.01150904862280917
from_2,RW,log1p_filter_distance,0.0976371367010999,high,0.8814536247878546,0.6101020967361827,0.9256015250656912,0.22335221021091958,0.3598667901945564,0.469762755842993,0.33581088739684595,0.9775435409903643,0.6777041252908254,0.0024418270611893133,0.37777777777777777,0.004852290566576281,0.5923718856503983,0.01501471780350684
from_3,CV,log_likelihood,-12.512159299376114,low,0.5415406159867194,0.6992762717614723,0.23566713380723794,0.9240925733680618,0.37555753453208784,0.6491045074027921,0.3273000338369968,0.5934746483227701,0.7411603595014392,0.000316791535330176,0.8888888888888888,0.0006333573481327833,0.9008894844075395,0.015454086807641019
from_3,CV,mahalanobis,0.013505002222867003,high,0.8749756554480789,0.660910561520321,0.6473495515669709,0.35580945750216014,0.4592155195237599,0.5763625425412267,0.4388281598562878,0.7096086463647138,0.7881262742900212,0.0004323581255612341,0.8666666666666667,0.0008642850811098307,0.8834629767414894,0.014030096665849838
from_3,CV,filter_distance,0.00047366029925203834,high,0.873376798019049,0.6301231766064502,0.681988841188877,0.28342046535336646,0.4004303530651678,0.5460801242586955,0.38189061811983294,0.7724242541351058,0.8084291298806852,0.0005375127305646712,0.8444444444444444,0.001074341612360583,0.8230741646186766,0.012654211938298757
from_3,CV,sqrt_mahalanobis,0.11621102453238492,high,0.8749756554480789,0.660910561520321,0.6473495515669709,0.35580945750216014,0.4592155195237599,0.5763625425412267,0.4388281598562878,0.7096086463647138,0.7881262742900212,0.0004323581255612341,0.8666666666666667,0.0008642850811098307,0.8834629767414894,0.014030096665849838
from_3,CV,log1p_filter_distance,0.0004735481576224555,high,0.873376798019049,0.6301231766064502,0.681988841188877,0.28342046535336646,0.4004303530651678,0.5460801242586955,0.38189061811983294,0.7724242541351058,0.8084291298806852,0.0005375127305646712,0.8444444444444444,0.001074341612360583,0.8230741646186766,0.012654211938298757
from_3,RW,log_likelihood,-13.370405974638423,low,0.5420544019586931,0.6997396889181686,0.23592708928231487,0.9244842012345602,0.37591993195378826,0.6021010907941553,0.3255575998354183,0.3041041892100788,0.4742496518685293,0.00013419899397030039,0.6444444444444445,0.0002683421084287182,0.5007673744534668,0.014184000714986192
from_3,RW,mahalanobis,0.03651237199598499,high,0.8828299034564626,0.6141942851121678,0.9327000200521356,0.23131531016305396,0.37069579554001486,0.4738030112617054,0.3441754627785971,0.9928891637038182,0.6187210449634475,0.005034324942791762,0.24444444444444444,0.009865470852017937,0.580232467004008,0.012054667860913552
from_3,RW,filter_distance,0.0002520274771608004,high,0.8813701577526964,0.6099377038873282,0.9244422690504405,0.22307247602056357,0.3594160803265143,0.47028495048806884,0.33783206344539074,0.9768833410625032,0.6884834781152265,0.002510810433812247,0.4,0.0049902966454117,0.5876755912150979,0.01505944948744604
from_3,RW,sqrt_mahalanobis,0.19108210799505848,high,0.8828299034564626,0.6141942851121678,0.9327000200521356,0.23131531016305396,0.37069579554001486,0.47380301131591335,0.34417547479022303,0.9928891637038182,0.6187210449634475,0.005034324942791762,0.24444444444444444,0.009865470852017937,0.580232467004008,0.012054667860913552
from_3,RW,log1p_filter_distance,0.0002519957235712418,high,0.8813701577526964,0.6099377038873282,0.9244422690504405,0.22307247602056357,0.3594160803265143,0.47028495048806884,0.33783206344539074,0.9768833410625032,0.6884834781152265,0.002510810433812247,0.4,0.0049902966454117,0.5876755912150979,0.01505944948744604
